attributes,XS,S,M,L,XL,2XL,3XL
Body Height,< 172 cm,172 - 177 cm,177 - 182 cm,182 - 187 cm,187 - 192 cm,192 - 197 cm,> 197 cm
Seat Height,666 - 766 mm,701 - 801 mm,736 - 836 mm,747 - 847 mm,786 - 886 mm,811 - 911 mm,836 - 936 mm
Seat Tube Length,475 mm,510 mm,545 mm,556 mm,595 mm,620 mm,645 mm
Top Tube Length,526 mm,538 mm,547 mm,555 mm,576 mm,586 mm,608 mm
Head Tube Length,127 mm,143 mm,159 mm,175 mm,196 mm,215 mm,234 mm
Head Tube Angle,"70,9°","71,6°","72,4°","73,25°","73,25°","73,25°","73,25°"
Seat Tube Angle,"73,5°","73,5°","73,5°","73,5°","73,5°","73,5°","73,5°"
Chainstay Length,415 mm,415 mm,415 mm,415 mm,415 mm,415 mm,415 mm
Wheel Base,979 mm,986 mm,989 mm,989 mm,1.010 mm,1.020 mm,1.042 mm
Stack,541 mm,556 mm,571 mm,590 mm,610 mm,628 mm,646 mm
Reach,366 mm,373 mm,378 mm,380 mm,395 mm,400 mm,417 mm
Stack+,629 mm,646 mm,662 mm,681 mm,702 mm,722 mm,740 mm
Reach+,424 mm,442 mm,457 mm,471 mm,486 mm,500 mm,517 mm
Stand-over Height,743 mm,767 mm,796 mm,815 mm,839 mm,860 mm,880 mm
Bottom Bracket Offset,75 mm,73 mm,70 mm,70 mm,70 mm,70 mm,70 mm
Spacer,"27,5 mm","27,5 mm","27,5 mm","27,5 mm","27,5 mm","27,5 mm","27,5 mm"
Stem Length,80 mm,90 mm,100 mm,110 mm,110 mm,120 mm,120 mm
Handlebar Width,400 mm,420 mm,420 mm,420 mm,440 mm,440 mm,440 mm
Crank Length,"165,0 mm","172,5 mm","172,5 mm","172,5 mm","175,0 mm","175,0 mm","175,0 mm"
Chainring Size,52/36,52/36,52/36,52/36,52/36,52/36,52/36
Seat Post Diameter,"27,2 mm","27,2 mm","27,2 mm","27,2 mm","27,2 mm","27,2 mm","27,2 mm"
Seat Post Length,350 mm,350 mm,350 mm,350 mm,350 mm,350 mm,350 mm
Maximum Seat Post Insertion Depth,207 mm,207 mm,207 mm,207 mm,207 mm,207 mm,207 mm
Seat Post Insertion Depth,107 mm,107 mm,107 mm,107 mm,107 mm,107 mm,107 mm
Wheel Size,"28""","28""","28""","28""","28""","28""","28"""
