attributes,2XS,XS,S,M
Body Height,< 166 cm,166 - 172 cm,172 - 178 cm,> 178 cm
Seat Height,623 - 723 mm,653 - 753 mm,683 - 783 mm,713 - 813 mm
Seat Tube Length,432 mm,462 mm,492 mm,522 mm
Top Tube Length,523 mm,533 mm,557 mm,579 mm
Head Tube Length,70 mm,88 mm,78 mm,97 mm
Head Tube Angle,"70,3°","71,3°",71°,"72,5°"
Seat Tube Angle,"73,5°","73,5°","73,5°","73,5°"
Chainstay Length,415 mm,415 mm,425 mm,425 mm
Wheel Base,988 mm,990 mm,1.020 mm,1.029 mm
Stack+,595 mm,615 mm,638 mm,660 mm
Reach+,404 mm,425 mm,442 mm,461 mm
Stand-over Height,753 mm,778 mm,805 mm,833 mm
Bottom Bracket Offset,60 mm,60 mm,75 mm,75 mm
Spacer,"15,0 mm","15,0 mm","15,0 mm","15,0 mm"
Cockpit Dimensions,45-400,60-400,60-420,60-420
Crank Length,"170,0 mm","170,0 mm","170,0 mm","172,5 mm"
Chainring Size,48/31,48/31,48/31,48/31
Seat Post Diameter,"27,2 mm","27,2 mm","27,2 mm","27,2 mm"
Seat Post Length,350 mm,350 mm,350 mm,350 mm
Maximum Seat Post Insertion Depth,207 mm,207 mm,207 mm,207 mm
Seat Post Insertion Depth,107 mm,107 mm,107 mm,107 mm
Wheel Size,"27,5""","27,5""","28""","28"""
Disc Size,140 mm,140 mm,160 mm,160 mm
