attributes,2XS,XS,S,M,L,XL,2XL
Body Height,158 - 166 cm,166 - 172 cm,172 - 178 cm,178 - 184 cm,184 - 190 cm,190 - 196 cm,196 - 204 cm
Seat Height,623 - 723 mm,653 - 753 mm,683 - 783 mm,713 - 813 mm,743 - 843 mm,773 - 873 mm,803 - 903 mm
Seat Tube Length,432 mm,462 mm,492 mm,522 mm,552 mm,582 mm,612 mm
Top Tube Length,513 mm,529 mm,543 mm,556 mm,571 mm,596 mm,612 mm
Head Tube Length,95 mm,113 mm,136 mm,155 mm,181 mm,202 mm,219 mm
Head Tube Angle,"69,6°",71°,"72,25°","73,25°","73,5°","73,5°","73,5°"
Seat Tube Angle,"73,85°","73,83°","73,82°","73,8°","73,79°","73,78°","73,77°"
Chainstay Length,410 mm,410 mm,410 mm,410 mm,410 mm,410 mm,410 mm
Wheel Base,975 mm,980 mm,985 mm,988 mm,1.003 mm,1.026 mm,1.039 mm
Stack,500 mm,522 mm,546 mm,567 mm,592 mm,613 mm,631 mm
Reach,368 mm,378 mm,385 mm,391 mm,399 mm,418 mm,428 mm
Bottom Bracket Offset,72 mm,72 mm,70 mm,70 mm,70 mm,70 mm,70 mm
Cockpit Dimensions,80-370,90-390,90-390,100-410,110-410,110-410,120-430
Seat Post Diameter,"27,2 mm","27,2 mm","27,2 mm","27,2 mm","27,2 mm","27,2 mm","27,2 mm"
Seat Post Length,350 mm,350 mm,350 mm,350 mm,350 mm,350 mm,350 mm
Maximum Seat Post Insertion Depth,207 mm,207 mm,207 mm,207 mm,207 mm,207 mm,207 mm
Seat Post Insertion Depth,107 mm,107 mm,107 mm,107 mm,107 mm,107 mm,107 mm
