attributes,XS,S,M,L,XL,2XL
Body Height,158 - 168 cm,168 - 178 cm,178 - 184 cm,184 - 190 cm,190 - 196 cm,> 196 cm
Seat Height,650 - 750 mm,690 - 790 mm,730 - 830 mm,760 - 860 mm,790 - 890 mm,820 - 920 mm
Seat Tube Length,442 mm,482 mm,522 mm,552 mm,582 mm,612 mm
Top Tube Length,558 mm,575 mm,587 mm,597 mm,610 mm,633 mm
Head Tube Length,105 mm,105 mm,130 mm,155 mm,180 mm,205 mm
Head Tube Angle,"72,2°","72,2°","72,1°","72,1°","72,2°","72,1°"
Seat Tube Angle,"73,5°","73,5°","73,5°","73,5°","73,5°","73,5°"
Chainstay Length,415 mm,415 mm,415 mm,415 mm,415 mm,415 mm
Wheel Base,1.011 mm,1.022 mm,1.035 mm,1.045 mm,1.059 mm,1.083 mm
Stack,527 mm,540 mm,563 mm,587 mm,611 mm,635 mm
Reach,402 mm,415 mm,420 mm,423 mm,429 mm,445 mm
Bottom Bracket Offset,60 mm,73 mm,73 mm,73 mm,73 mm,73 mm
Spacer,"25,0 mm","25,0 mm","25,0 mm","25,0 mm","25,0 mm","25,0 mm"
Stem Length,80 mm,80 mm,90 mm,100 mm,110 mm,110 mm
Handlebar Width,600 mm,600 mm,600 mm,600 mm,600 mm,600 mm
Crank Length,"165,0 mm","170,0 mm","170,0 mm","170,0 mm","170,0 mm","170,0 mm"
Chainring Size,50/34,50/34,50/34,50/34,50/34,50/34
Seat Post Length,350 mm,350 mm,350 mm,350 mm,350 mm,350 mm
Maximum Seat Post Insertion Depth,190 mm,190 mm,190 mm,190 mm,190 mm,190 mm
Seat Post Insertion Depth,90 mm,90 mm,90 mm,90 mm,90 mm,90 mm
Wheel Size,"27,5""","28""","28""","28""","28""","28"""
Disc Size,160 mm,160 mm,160 mm,160 mm,160 mm,160 mm
